name,category,n,m,mode,method,count,max,checks,time_ms,status
gen_tiny_000.txt,tiny,9,0,0,Pivot-Orig,0,0,10,0.002458,ok
gen_tiny_000.txt,tiny,9,0,1,Pivot-Asc,0,0,10,0.003167,ok
gen_tiny_000.txt,tiny,9,0,2,Pivot-Desc,0,0,10,0.001917,ok
gen_tiny_000.txt,tiny,9,0,6,RSib-BF,0,0,9,0.002167,ok
gen_tiny_000.txt,tiny,9,0,7,RSib-BT,0,0,9,0.002042,ok
gen_tiny_000.txt,tiny,9,0,8,RSib-Greedy,0,0,9,0.001875,ok
gen_tiny_000.txt,tiny,9,0,9,RSib-Bitmask,0,0,9,0.001542,ok
gen_tiny_000.txt,tiny,9,0,10,RSib-InclMin,0,0,9,0.001542,ok
gen_tiny_001.txt,tiny,9,2,0,Pivot-Orig,0,0,11,0.002,ok
gen_tiny_001.txt,tiny,9,2,1,Pivot-Asc,0,0,11,0.003,ok
gen_tiny_001.txt,tiny,9,2,2,Pivot-Desc,0,0,11,0.002625,ok
gen_tiny_001.txt,tiny,9,2,6,RSib-BF,0,0,11,0.001833,ok
gen_tiny_001.txt,tiny,9,2,7,RSib-BT,0,0,11,0.001708,ok
gen_tiny_001.txt,tiny,9,2,8,RSib-Greedy,0,0,11,0.001625,ok
gen_tiny_001.txt,tiny,9,2,9,RSib-Bitmask,0,0,11,0.001625,ok
gen_tiny_001.txt,tiny,9,2,10,RSib-InclMin,0,0,11,0.001333,ok
gen_tiny_002.txt,tiny,10,6,0,Pivot-Orig,0,0,15,0.003625,ok
gen_tiny_002.txt,tiny,10,6,1,Pivot-Asc,0,0,15,0.003542,ok
gen_tiny_002.txt,tiny,10,6,2,Pivot-Desc,0,0,15,0.004,ok
gen_tiny_002.txt,tiny,10,6,6,RSib-BF,0,0,16,0.002542,ok
gen_tiny_002.txt,tiny,10,6,7,RSib-BT,0,0,16,0.002125,ok
gen_tiny_002.txt,tiny,10,6,8,RSib-Greedy,0,0,16,0.002,ok
gen_tiny_002.txt,tiny,10,6,9,RSib-Bitmask,0,0,16,0.001875,ok
gen_tiny_002.txt,tiny,10,6,10,RSib-InclMin,0,0,16,0.001792,ok
gen_tiny_003.txt,tiny,6,6,0,Pivot-Orig,0,0,10,0.003334,ok
gen_tiny_003.txt,tiny,6,6,1,Pivot-Asc,0,0,10,0.003083,ok
gen_tiny_003.txt,tiny,6,6,2,Pivot-Desc,0,0,10,0.002834,ok
gen_tiny_003.txt,tiny,6,6,6,RSib-BF,0,0,12,0.001417,ok
gen_tiny_003.txt,tiny,6,6,7,RSib-BT,0,0,12,0.001417,ok
gen_tiny_003.txt,tiny,6,6,8,RSib-Greedy,0,0,12,0.001417,ok
gen_tiny_003.txt,tiny,6,6,9,RSib-Bitmask,0,0,12,0.001375,ok
gen_tiny_003.txt,tiny,6,6,10,RSib-InclMin,0,0,12,0.001375,ok
gen_tiny_004.txt,tiny,12,33,0,Pivot-Orig,12,4,34,0.011625,ok
gen_tiny_004.txt,tiny,12,33,1,Pivot-Asc,12,4,34,0.011708,ok
gen_tiny_004.txt,tiny,12,33,2,Pivot-Desc,12,4,34,0.010292,ok
gen_tiny_004.txt,tiny,12,33,6,RSib-BF,12,4,21,0.046625,ok
gen_tiny_004.txt,tiny,12,33,7,RSib-BT,12,4,21,0.03975,ok
gen_tiny_004.txt,tiny,12,33,8,RSib-Greedy,12,4,21,0.037292,ok
gen_tiny_004.txt,tiny,12,33,9,RSib-Bitmask,12,4,21,0.045709,ok
gen_tiny_004.txt,tiny,12,33,10,RSib-InclMin,12,4,21,0.040542,ok
gen_tiny_005.txt,tiny,7,17,0,Pivot-Orig,4,5,10,0.005416,ok
gen_tiny_005.txt,tiny,7,17,1,Pivot-Asc,4,5,10,0.004792,ok
gen_tiny_005.txt,tiny,7,17,2,Pivot-Desc,4,5,10,0.003708,ok
gen_tiny_005.txt,tiny,7,17,6,RSib-BF,4,5,12,0.01075,ok
gen_tiny_005.txt,tiny,7,17,7,RSib-BT,4,5,12,0.010541,ok
gen_tiny_005.txt,tiny,7,17,8,RSib-Greedy,4,5,12,0.01175,ok
gen_tiny_005.txt,tiny,7,17,9,RSib-Bitmask,4,5,12,0.008667,ok
gen_tiny_005.txt,tiny,7,17,10,RSib-InclMin,4,5,12,0.0115,ok
gen_tiny_006.txt,tiny,7,21,0,Pivot-Orig,1,7,8,0.003458,ok
gen_tiny_006.txt,tiny,7,21,1,Pivot-Asc,1,7,8,0.003083,ok
gen_tiny_006.txt,tiny,7,21,2,Pivot-Desc,1,7,8,0.003042,ok
gen_tiny_006.txt,tiny,7,21,6,RSib-BF,1,7,7,0.001958,ok
gen_tiny_006.txt,tiny,7,21,7,RSib-BT,1,7,7,0.001625,ok
gen_tiny_006.txt,tiny,7,21,8,RSib-Greedy,1,7,7,0.001625,ok
gen_tiny_006.txt,tiny,7,21,9,RSib-Bitmask,1,7,7,0.001875,ok
gen_tiny_006.txt,tiny,7,21,10,RSib-InclMin,1,7,7,0.002041,ok
gen_tiny_007.txt,tiny,12,0,0,Pivot-Orig,0,0,13,0.001167,ok
gen_tiny_007.txt,tiny,12,0,1,Pivot-Asc,0,0,13,0.001083,ok
gen_tiny_007.txt,tiny,12,0,2,Pivot-Desc,0,0,13,0.000916,ok
gen_tiny_007.txt,tiny,12,0,6,RSib-BF,0,0,12,0.001083,ok
gen_tiny_007.txt,tiny,12,0,7,RSib-BT,0,0,12,0.001083,ok
gen_tiny_007.txt,tiny,12,0,8,RSib-Greedy,0,0,12,0.001042,ok
gen_tiny_007.txt,tiny,12,0,9,RSib-Bitmask,0,0,12,0.001125,ok
gen_tiny_007.txt,tiny,12,0,10,RSib-InclMin,0,0,12,0.001083,ok
gen_tiny_008.txt,tiny,12,4,0,Pivot-Orig,0,0,15,0.003334,ok
gen_tiny_008.txt,tiny,12,4,1,Pivot-Asc,0,0,15,0.003166,ok
gen_tiny_008.txt,tiny,12,4,2,Pivot-Desc,0,0,15,0.003041,ok
gen_tiny_008.txt,tiny,12,4,6,RSib-BF,0,0,16,0.001584,ok
gen_tiny_008.txt,tiny,12,4,7,RSib-BT,0,0,16,0.00175,ok
gen_tiny_008.txt,tiny,12,4,8,RSib-Greedy,0,0,16,0.0015,ok
gen_tiny_008.txt,tiny,12,4,9,RSib-Bitmask,0,0,16,0.0015,ok
gen_tiny_008.txt,tiny,12,4,10,RSib-InclMin,0,0,16,0.001667,ok
gen_tiny_009.txt,tiny,12,7,0,Pivot-Orig,0,0,17,0.003916,ok
gen_tiny_009.txt,tiny,12,7,1,Pivot-Asc,0,0,17,0.003625,ok
gen_tiny_009.txt,tiny,12,7,2,Pivot-Desc,0,0,17,0.00375,ok
gen_tiny_009.txt,tiny,12,7,6,RSib-BF,0,0,19,0.002083,ok
gen_tiny_009.txt,tiny,12,7,7,RSib-BT,0,0,19,0.001958,ok
gen_tiny_009.txt,tiny,12,7,8,RSib-Greedy,0,0,19,0.002084,ok
gen_tiny_009.txt,tiny,12,7,9,RSib-Bitmask,0,0,19,0.001875,ok
gen_tiny_009.txt,tiny,12,7,10,RSib-InclMin,0,0,19,0.001875,ok
gen_tiny_010.txt,tiny,12,19,0,Pivot-Orig,3,3,23,0.00825,ok
gen_tiny_010.txt,tiny,12,19,1,Pivot-Asc,3,3,23,0.008,ok
gen_tiny_010.txt,tiny,12,19,2,Pivot-Desc,3,3,23,0.006917,ok
gen_tiny_010.txt,tiny,12,19,6,RSib-BF,3,3,20,0.012875,ok
gen_tiny_010.txt,tiny,12,19,7,RSib-BT,3,3,20,0.011458,ok
gen_tiny_010.txt,tiny,12,19,8,RSib-Greedy,3,3,20,0.01225,ok
gen_tiny_010.txt,tiny,12,19,9,RSib-Bitmask,3,3,20,0.012083,ok
gen_tiny_010.txt,tiny,12,19,10,RSib-InclMin,3,3,20,0.012959,ok
gen_tiny_011.txt,tiny,5,4,0,Pivot-Orig,0,0,8,0.002625,ok
gen_tiny_011.txt,tiny,5,4,1,Pivot-Asc,0,0,8,0.002542,ok
gen_tiny_011.txt,tiny,5,4,2,Pivot-Desc,0,0,8,0.002625,ok
gen_tiny_011.txt,tiny,5,4,6,RSib-BF,0,0,9,0.001208,ok
gen_tiny_011.txt,tiny,5,4,7,RSib-BT,0,0,9,0.000875,ok
gen_tiny_011.txt,tiny,5,4,8,RSib-Greedy,0,0,9,0.000917,ok
gen_tiny_011.txt,tiny,5,4,9,RSib-Bitmask,0,0,9,0.000958,ok
gen_tiny_011.txt,tiny,5,4,10,RSib-InclMin,0,0,9,0.001042,ok
gen_tiny_012.txt,tiny,7,18,0,Pivot-Orig,3,5,9,0.003875,ok
gen_tiny_012.txt,tiny,7,18,1,Pivot-Asc,3,5,9,0.003625,ok
gen_tiny_012.txt,tiny,7,18,2,Pivot-Desc,3,5,9,0.003625,ok
gen_tiny_012.txt,tiny,7,18,6,RSib-BF,3,5,12,0.008584,ok
gen_tiny_012.txt,tiny,7,18,7,RSib-BT,3,5,12,0.007708,ok
gen_tiny_012.txt,tiny,7,18,8,RSib-Greedy,3,5,12,0.010875,ok
