graph,n,m,density,avg_degree,max_degree,min_degree,std_degree,degree_skewness,degree_gini,max_over_avg_degree,degeneracy,avg_core,std_core,num_core_levels,frac_in_max_core,degeneracy_over_avg_deg,max_forward_degree,std_forward_degree
data_test,15,26,0.24761905,3.4667,5,2,1.0873,0.2411,0.1718,1.4423,3,2.8,0.4,2,0.8,0.8654,3,0.8537
data_test1,5,8,0.8,3.2,4,2,0.7483,-0.3436,0.125,1.25,3,2.8,0.4,2,0.8,0.9375,3,1.0198
data_test10,10,16,0.35555556,3.2,4,1,1.077,-0.8837,0.1688,1.25,2,1.9,0.3,2,0.9,0.625,3,0.8
data_test11,6,12,0.8,4.0,4,4,0.0,0.0,0.0,1.0,4,4.0,0.0,1,1.0,1.0,4,1.5275
data_test12,6,12,0.8,4.0,5,3,0.5774,0.0,0.0694,1.25,3,3.0,0.0,1,1.0,0.75,4,1.291
data_test13,5,6,0.6,2.4,4,1,1.0198,0.2715,0.2333,1.6667,2,1.8,0.4,2,0.8,0.8333,3,1.1662
data_test2,5,7,0.7,2.8,4,2,0.7483,0.3436,0.1429,1.4286,2,2.0,0.0,1,1.0,0.7143,2,0.8
data_test3,10,16,0.35555556,3.2,5,2,0.9798,0.2296,0.1688,1.5625,3,2.4,0.4899,2,0.4,0.9375,3,1.1136
data_test5,7,9,0.42857143,2.5714,4,1,0.9035,-0.2135,0.1905,1.5556,2,1.8571,0.3499,2,0.8571,0.7778,2,0.6999
data_test6,9,12,0.33333333,2.6667,4,2,0.6667,0.5,0.1296,1.5,2,2.0,0.0,1,1.0,0.75,2,0.8165
data_test7,10,15,0.33333333,3.0,4,2,0.7746,0.0,0.14,1.3333,2,2.0,0.0,1,1.0,0.6667,3,0.922
data_test8,10,14,0.31111111,2.8,4,1,0.9798,-0.2296,0.1929,1.4286,2,1.9,0.3,2,0.9,0.7143,2,0.6633
data_test9,10,14,0.31111111,2.8,4,1,0.8718,-0.5071,0.1643,1.4286,2,1.9,0.3,2,0.9,0.7143,2,0.6633
gen_big_000,98,181,0.03808121,3.6939,12,0,3.8846,0.5784,0.5701,3.2486,9,3.2959,3.4351,8,0.102,2.4365,9,2.3271
gen_big_001,130,93,0.01109123,1.4308,5,0,1.2523,0.8152,0.4719,3.4946,2,0.9923,0.7285,3,0.2615,1.3978,4,0.8525
gen_big_002,158,257,0.02072079,3.2532,9,0,1.8587,0.468,0.3194,2.7665,2,1.7405,0.5178,3,0.7785,0.6148,6,1.6128
gen_big_003,84,130,0.03729203,3.0952,9,0,1.777,0.8108,0.3125,2.9077,2,1.7857,0.4647,3,0.8095,0.6462,6,1.4176
gen_big_004,93,231,0.05399719,4.9677,10,1,1.9535,0.0798,0.2215,2.013,3,2.828,0.478,3,0.871,0.6039,10,1.9708
gen_big_005,123,649,0.08649873,10.5528,19,3,2.8803,-0.0698,0.1524,1.8005,7,6.7967,0.6621,5,0.8943,0.6633,13,3.4294
gen_big_006,175,87,0.00571429,0.9943,4,0,1.061,0.9587,0.5608,4.023,1,0.5943,0.491,2,0.5943,1.0057,4,0.8272
gen_big_007,143,134,0.01319807,1.8741,7,0,1.4036,0.7249,0.4061,3.7351,2,1.2308,0.7356,3,0.4126,1.0672,4,0.991
gen_big_008,176,314,0.02038961,3.5682,8,0,1.7307,0.3585,0.2712,2.242,3,2.1364,0.6249,4,0.2557,0.8408,6,1.331
